,Month,Overview,Poster Path,Titles,Year
19,04,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",/8htLKK03TJjKZOXJgihZCu8v0P.jpg,E.T. the Extra-Terrestrial,1982
20,06,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",/ogCQV6mnLtCJuiiHtMB83jvSRfY.jpg,Hulk,2003
21,06,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",/2tgl9q3ZaVQUfSsbftqhRxXCElB.jpg,Moon,2009
22,06,Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people it kills.,/s5fH3GqFcHbi2F0NSBSh4KRNTc0.jpg,The Thing,1982
23,09,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",/drtXi58nN6P3zcoLh6wUlsZAYqh.jpg,Real Steel,2011
24,06,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",/yhg0l1Ddd2thQOSUUQx9jBrGI12.jpg,Austin Powers: The Spy Who Shagged Me,1999
25,07,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",/coINnuCzcw5FMHBty8hcudMOBnO.jpg,Armageddon,1998
26,11,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",/Hn0KgefVEp0GkdTexS6gfKTMfi.jpg,The Hunger Games: Catching Fire,2013
27,01,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",/qL3FnEug9DyBcaBXVb0oT3DJMJu.jpg,The Book of Eli,2010
28,09,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",/gZ6i32Da76EUxta06GL2BxpC4Cn.jpg,Children of Men,2006
29,12,"David Aames has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia, his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",/ujMy9P4VczTW9YSpAM31uqdOMpz.jpg,Vanilla Sky,2001
30,02,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",/yR7rapBFxBoBT0vkZQIXhLBr726.jpg,Dark City,1998
